Matrix_Size_N,Trial_Number,NW_Time_Seconds,BH_Time_Seconds
10,1,2.969987690448761e-05,0.00030230008997023106
10,2,1.859990879893303e-05,0.00025289994664490223
10,3,1.659989356994629e-05,0.00025829998776316643
10,4,1.6300007700920105e-05,0.00024099997244775295
10,5,1.5900004655122757e-05,0.0003081001341342926
10,6,1.5999889001250267e-05,0.00024649989791214466
10,7,1.5600118786096573e-05,0.00024710013531148434
10,8,1.610000617802143e-05,0.0002478999085724354
10,9,1.559988595545292e-05,0.0003776999656111002
10,10,2.2500054910779e-05,0.00027169985696673393
10,11,1.6999896615743637e-05,0.00025120005011558533
10,12,1.659989356994629e-05,0.00024370010942220688
10,13,1.550000160932541e-05,0.00024580000899732113
10,14,1.5900004655122757e-05,0.000260600121691823
10,15,1.550000160932541e-05,0.0002462000120431185
10,16,1.610000617802143e-05,0.00025960011407732964
10,17,1.550000160932541e-05,0.000435700174421072
10,18,3.9700185880064964e-05,0.00029799994081258774
10,19,1.54001172631979e-05,0.0002623999025672674
10,20,1.650000922381878e-05,0.000246299896389246
10,21,1.550000160932541e-05,0.00023999996483325958
10,22,1.5099998563528061e-05,0.00023659993894398212
10,23,1.5099998563528061e-05,0.00022320006974041462
10,24,1.5300000086426735e-05,0.0005564000457525253
10,25,4.509999416768551e-05,0.0004110999871045351
10,26,1.819990575313568e-05,0.0002737001050263643
10,27,1.859990879893303e-05,0.00031649996526539326
10,28,1.8600141629576683e-05,0.00024949992075562477
10,29,1.6700010746717453e-05,0.00033389986492693424
10,30,1.810002140700817e-05,0.00029959995299577713
10,31,1.71000137925148e-05,0.00025669997557997704
10,32,1.759990118443966e-05,0.00025470019318163395
10,33,1.6900012269616127e-05,0.0002617000136524439
10,34,1.7700018361210823e-05,0.0002592999953776598
10,35,1.659989356994629e-05,0.00027169985696673393
10,36,1.659989356994629e-05,0.00025310018099844456
10,37,1.6900012269616127e-05,0.000246299896389246
10,38,1.5600118786096573e-05,0.0002489001490175724
10,39,1.5799887478351593e-05,0.0002429999876767397
10,40,1.4699995517730713e-05,0.000232999911531806
10,41,1.550000160932541e-05,0.0002429999876767397
10,42,1.600012183189392e-05,0.00022840010933578014
10,43,1.4999881386756897e-05,0.0002327000256627798
10,44,1.4699995517730713e-05,0.00024150009267032146
10,45,1.5099998563528061e-05,0.0002319000195711851
10,46,1.4400109648704529e-05,0.00023619993589818478
10,47,1.5300000086426735e-05,0.00024069985374808311
10,48,1.5399884432554245e-05,0.00023210002109408379
10,49,1.819990575313568e-05,0.000238100066781044
10,50,1.500011421740055e-05,0.00024070008657872677
10,51,1.5099998563528061e-05,0.00023579993285238743
10,52,1.4899997040629387e-05,0.00023550004698336124
10,53,1.5199882909655571e-05,0.0002421000972390175
10,54,1.4499993994832039e-05,0.00022780010476708412
10,55,1.4499993994832039e-05,0.0002280999906361103
10,56,1.4499993994832039e-05,0.00022150017321109772
